code,name,market,market_cap,naver_group,best_sector,best_corr,2nd_sector,2nd_corr,3rd_sector,3rd_corr
123040,엠에스오토텍,KOSDAQ,1465,자동차부품,핀테크·결제,0.7776,물류·육운,0.7635,원전,0.7625
002240,고려제강,KOSPI,6061,철강,자동차_부품,0.7771,전력기기,0.7715,석유화학,0.7613
033310,엠투엔,KOSDAQ,649,자동차부품,레저·여행,0.7768,내수식품,0.7309,물류·육운,0.7283
264450,유비쿼스,KOSDAQ,2182,통신장비,석유화학,0.7764,2차전지_소재부품,0.7594,디스플레이,0.738
058650,세아홀딩스,KOSPI,6422,철강,은행,0.7763,핀테크·결제,0.7609,물류·육운,0.7265
166480,코아스템켐온,KOSDAQ,2180,생물공학,비철금속,0.7763,시멘트,0.6606,전력기기,0.6481
102260,동성케미컬,KOSPI,2097,화학,패션·의류,0.7761,물류·육운,0.7676,은행,0.7408
012700,리드코프,KOSDAQ,897,석유와가스,내수식품,0.7759,신재생에너지,0.7052,방산,0.6842
221840,하이즈항공,KOSDAQ,508,우주항공과국방,핀테크·결제,0.7759,은행,0.7573,레저·여행,0.7181
394280,오픈엣지테크놀로지,KOSDAQ,4992,반도체와반도체장비,반도체_중소형,0.7754,반도체_장비,0.721,우주·위성,0.6867
029460,케이씨,KOSPI,4220,반도체와반도체장비,증권,0.7751,반도체_소재부품,0.7744,반도체_중소형,0.7514
068330,일신바이오,KOSDAQ,619,생명과학도구및서비스,레저·여행,0.7751,AI_인프라,0.742,에너지유틸리티,0.7289
093520,매커스,KOSDAQ,3583,반도체와반도체장비,레저·여행,0.7749,핀테크·결제,0.7104,은행,0.6884
285130,SK케미칼,KOSPI,8640,화학,레저·여행,0.7741,에너지유틸리티,0.7492,생활용품,0.7074
273060,와이즈버즈,KOSDAQ,602,광고,레저·여행,0.7739,게임,0.7132,내수식품,0.6716
035150,백산,KOSPI,2171,"섬유,의류,신발,호화품",보험,0.7737,방산,0.6655,미용·에스테틱,0.6136
088280,쏘닉스,KOSDAQ,1162,핸드셋,건설,0.7735,철강,0.6109,해운,0.5763
083450,GST,KOSDAQ,11850,반도체와반도체장비,반도체_대형,0.7733,반도체_장비,0.7707,반도체_소재부품,0.7571
014940,오리엔탈정공,KOSDAQ,3313,조선,조선,0.773,바이오_임상단계,0.2102,의료기기,0.1901
092200,디아이씨,KOSPI,3601,자동차부품,자동차_부품,0.7727,바이오_기술이전,0.6802,로봇,0.6232
051500,CJ프레시웨이,KOSDAQ,2973,식품과기본식료품소매,보험,0.7727,미용·에스테틱,0.7233,레저·여행,0.7198
010280,아이티센엔텍,KOSDAQ,853,IT서비스,방산,0.7726,미디어·콘텐츠,0.7559,레저·여행,0.7468
003620,KG모빌리티,KOSPI,8115,자동차,2차전지_소재부품,0.7725,석유화학,0.7545,정유,0.7503
463020,뉴엔AI,KOSDAQ,1079,IT서비스,K푸드_수출,0.7725,생활용품,0.737,중국내수식품,0.7081
001040,CJ,KOSPI,60396,복합기업,레저·여행,0.7724,물류·육운,0.6857,내수식품,0.6615
028260,삼성물산,KOSPI,693272,복합기업,반도체_대형,0.7722,반도체_소재부품,0.7603,정유,0.7578
000700,유수홀딩스,KOSPI,1536,항공화물운송과물류,내수식품,0.772,패션·의류,0.7125,신재생에너지,0.7061
000140,하이트진로홀딩스,KOSPI,2016,음료,AI_인프라,0.7719,생활용품,0.74,보험,0.7399
071200,인피니트헬스케어,KOSDAQ,1726,건강관리기술,방산,0.7713,중국내수식품,0.7274,내수식품,0.7054
016880,웅진,KOSPI,1958,출판,레저·여행,0.7706,생활용품,0.6918,조선,0.6843
074430,아미노로직스,KOSDAQ,1095,제약,자동차_완성차,0.7705,비철금속,0.7018,우주·위성,0.6744
033130,디지틀조선,KOSDAQ,799,IT서비스,우주·위성,0.7702,전력기기,0.6732,시멘트,0.6667
021820,세원정공,KOSPI,1468,자동차부품,증권,0.7701,B2B_IT서비스,0.7644,핀테크·결제,0.754
484810,티엑스알로보틱스,KOSDAQ,2798,기계,로봇,0.77,자동차_부품,0.7104,반도체_소재부품,0.5986
001540,안국약품,KOSDAQ,1019,제약,물류·육운,0.7698,레저·여행,0.7638,에너지유틸리티,0.7517
125490,한라캐스트,KOSDAQ,6296,자동차부품,로봇,0.7695,의료기기,0.738,자동차_부품,0.7077
001360,삼성제약,KOSPI,1676,제약,건자재,0.7686,시멘트,0.7127,유통,0.6783
038460,바이오스마트,KOSDAQ,918,전자장비와기기,시멘트,0.7683,우주·위성,0.7611,유통,0.6795
376270,HEM파마,KOSDAQ,5116,건강관리업체및서비스,바이오_대형CDMO,0.7678,로봇,0.732,자동차_부품,0.712
294570,쿠콘,KOSDAQ,2800,IT서비스,레저·여행,0.7676,빅플랫폼,0.7366,미용·에스테틱,0.7105
067830,세이브존I&C,KOSPI,1186,백화점과일반상점,내수식품,0.7675,패션·의류,0.7241,물류·육운,0.6763
002170,SYTS,KOSPI,1758,"섬유,의류,신발,호화품",보험,0.7674,은행,0.7501,증권,0.7084
140670,알에스오토메이션,KOSDAQ,2198,기계,로봇,0.7674,우주·위성,0.597,자동차_부품,0.5822
128660,피제이메탈,KOSDAQ,833,비철금속,철강,0.7669,우주·위성,0.7574,유통,0.7202
439260,대한조선,KOSPI,28432,조선,신재생에너지,0.7667,해운,0.732,원전,0.689
289220,자이언트스텝,KOSDAQ,575,양방향미디어와서비스,방산,0.7667,미디어·콘텐츠,0.7567,생활용품,0.7211
950170,JTC,KOSDAQ,2509,백화점과일반상점,방산,0.7664,미용·에스테틱,0.6972,화장품_ODM,0.6602
